id,category,difficulty,question,expected_answer
44,Application,Medium,"Why is Bayes' theorem important in artificial intelligence?","It enables probabilistic inference by allowing models to update beliefs when additional observations become available."
45,Reasoning,Hard,"How does Bayes' theorem support learning from new evidence?","It combines prior probabilities with observed evidence to compute posterior probabilities, allowing predictions to improve as more information becomes available."
46,Definition,Easy,"What is a random variable?","A random variable is a function that assigns numerical values to outcomes of a random experiment."
47,Reasoning,Medium,"Why is a random variable considered deterministic even though it models randomness?","The mapping from each outcome to its assigned value is fixed and deterministic, while the randomness comes from which outcome actually occurs."
48,Definition,Easy,"What is the expectation of a random variable?","Expectation is the probability-weighted average value that a random variable is expected to take over many repeated trials."
49,Definition,Easy,"What does the variance of a random variable measure?","Variance measures how widely the values of a random variable are dispersed around their expected value."
50,Reasoning,Hard,"Why are expectation and variance both necessary for describing a probability distribution?","Expectation summarizes the central tendency of the distribution, while variance quantifies its spread. Together they provide a more complete description than either measure alone."
51,Definition,Easy,"What is a probability distribution?","A probability distribution assigns probabilities to all possible values of a random variable such that the probabilities are nonnegative and sum to one."
52,Comparison,Medium,"How does a discrete probability distribution differ from a continuous probability distribution?","A discrete probability distribution assigns probabilities to countable outcomes, whereas a continuous probability distribution describes probabilities over continuous intervals using a probability density function."
53,Definition,Easy,"What is a Bernoulli random variable?","A Bernoulli random variable has exactly two possible outcomes, typically represented as 0 and 1, corresponding to failure and success."
54,Application,Medium,"How can a coin toss be modeled as a Bernoulli random variable?","One outcome, such as heads, is assigned the value 1 and the other outcome, tails, is assigned the value 0, creating a binary random variable."
55,Definition,Medium,"What is a Binomial distribution?","A Binomial distribution models the number of successes obtained from a fixed number of independent Bernoulli trials having the same probability of success."
56,Reasoning,Medium,"Why is the Binomial distribution useful in machine learning?","It models repeated binary events, making it useful for analyzing classification outcomes and probabilistic decision-making."
57,Definition,Easy,"What is a Gaussian distribution?","A Gaussian distribution is a continuous probability distribution characterized by its mean and variance and is commonly represented as a bell-shaped curve."
58,Comparison,Medium,"How does a Gaussian distribution differ from a Bernoulli distribution?","A Gaussian distribution models continuous values over an interval, whereas a Bernoulli distribution models only two discrete outcomes."
59,Reasoning,Medium,"Why is the Gaussian distribution important in machine learning?","Many natural measurements approximately follow Gaussian distributions, making them useful for statistical modeling, estimation, and probabilistic algorithms."
60,Definition,Easy,"What is covariance?","Covariance measures how two random variables vary together and indicates whether they tend to increase or decrease simultaneously."
61,Comparison,Medium,"How does covariance differ from variance?","Variance measures the spread of a single random variable, whereas covariance measures the joint relationship between two random variables."
62,Definition,Easy,"What is entropy in information theory?","Entropy measures the average uncertainty or information contained in a probability distribution."
63,Reasoning,Medium,"Why does a uniform probability distribution have higher entropy than a skewed distribution?","A uniform distribution has greater uncertainty because every outcome is equally likely, making the result less predictable."
64,Definition,Easy,"What is self-information?","Self-information quantifies how much information is gained by observing a particular event, with rarer events providing more information."
65,Reasoning,Medium,"Why do rare events contain more information than common events?","Rare events are less expected, so observing them reduces uncertainty by a greater amount than observing common events."
66,Definition,Easy,"What is cross entropy?","Cross entropy measures the difference between a true probability distribution and a predicted probability distribution."
67,Application,Medium,"Why is cross entropy commonly used as a loss function for classification tasks?","Cross entropy penalizes incorrect probability estimates while rewarding accurate confidence in the correct class, making it well suited for classification problems."
68,Definition,Medium,"What is Kullback-Leibler divergence?","Kullback-Leibler divergence measures how one probability distribution differs from another reference probability distribution."
69,Comparison,Hard,"How does KL divergence differ from cross entropy?","KL divergence measures only the difference between two probability distributions, whereas cross entropy combines the entropy of the true distribution with the divergence from the predicted distribution."
70,Definition,Medium,"What is Maximum Likelihood Estimation (MLE)?","Maximum Likelihood Estimation is a statistical method that estimates model parameters by maximizing the probability of observing the available data."
71,Reasoning,Medium,"Why is Maximum Likelihood Estimation widely used for training machine learning models?","MLE provides a principled way to estimate parameters that best explain the observed training data according to the assumed probabilistic model."
72,Definition,Medium,"What is Maximum A Posteriori (MAP) estimation?","MAP estimation finds parameter values that maximize the posterior probability by combining observed data with prior beliefs."
73,Comparison,Medium,"How does MAP estimation differ from Maximum Likelihood Estimation?","MAP estimation incorporates prior knowledge through a prior distribution, whereas MLE relies solely on the observed data."
74,Reasoning,Hard,"Why can MAP estimation outperform MLE when limited training data is available?","The prior information in MAP estimation helps regularize parameter estimates, reducing overfitting when the available data is insufficient."
75,Definition,Easy,"What is a neural network according to the book?","A neural network is a machine learning model composed of interconnected computational units that learn patterns from data by adjusting their parameters."
76,Reasoning,Medium,"Why are traditional rule-based computer programs insufficient for many real-world AI tasks?","Many real-world problems involve complex patterns that are difficult or impossible to encode manually, making data-driven learning approaches more effective."
77,Comparison,Medium,"How does machine learning differ from traditional programming?","Traditional programming relies on explicitly defined rules, whereas machine learning learns the underlying relationships directly from training data."
78,Definition,Easy,"What is a neuron in an artificial neural network?","A neuron is a computational unit that combines weighted inputs, applies an activation function, and produces an output passed to subsequent neurons."
79,Reasoning,Medium,"Why are weighted inputs essential in a neuron?","Weights determine the importance of each input feature and are adjusted during training to improve the network's predictions."
80,Definition,Easy,"What is an activation function?","An activation function transforms the weighted sum of a neuron's inputs and introduces nonlinearity into the neural network."
81,Definition,Easy,"Why are activation functions necessary in neural networks?","Activation functions introduce nonlinearity into neural networks, allowing them to learn complex patterns that cannot be represented by linear transformations alone."
82,Reasoning,Medium,"Why would a neural network without activation functions be equivalent to a linear model?","Without nonlinear activation functions, multiple linear transformations collapse into a single linear transformation, preventing the network from learning complex nonlinear relationships."
83,Definition,Easy,"What is the sigmoid activation function?","The sigmoid activation function maps any real-valued input to a value between 0 and 1, making it useful for representing probabilities in binary classification tasks."
84,Comparison,Medium,"How does the sigmoid activation function differ from the hyperbolic tangent (tanh) function?","The sigmoid function outputs values between 0 and 1, whereas the tanh function outputs values between -1 and 1, producing activations centered around zero."
85,Reasoning,Hard,"Why can sigmoid activations make training deep neural networks difficult?","Sigmoid activations can saturate for very large or very small inputs, causing gradients to become extremely small and slowing or preventing effective learning."
86,Definition,Easy,"What is the ReLU activation function?","The Rectified Linear Unit (ReLU) outputs zero for negative inputs and returns the input itself for positive values, making it computationally efficient."
87,Comparison,Medium,"Why is ReLU often preferred over sigmoid in deep neural networks?","ReLU reduces the vanishing gradient problem, is computationally efficient, and allows faster convergence during training."
88,Reasoning,Hard,"What is the dying ReLU problem?","If a neuron's inputs consistently produce negative values, its output remains zero and its gradients become zero, preventing further learning."
89,Definition,Easy,"What is the Softmax activation function?","Softmax converts a vector of scores into a probability distribution whose values sum to one, making it suitable for multiclass classification."
90,Application,Medium,"Why is Softmax commonly used in the output layer of multiclass classifiers?","It assigns probabilities to every possible class, allowing the model to predict the most likely class while ensuring all probabilities sum to one."
91,Definition,Easy,"What is forward propagation?","Forward propagation is the process of passing input data through each layer of a neural network to compute its final prediction."
92,Definition,Medium,"What is backpropagation?","Backpropagation is the algorithm used to compute gradients of the loss function with respect to every network parameter by propagating errors backward through the network."
93,Reasoning,Hard,"Why is backpropagation essential for training deep neural networks?","It efficiently computes gradients for every parameter, allowing optimization algorithms to update weights and reduce prediction error."
94,Definition,Easy,"What is gradient descent?","Gradient descent is an optimization algorithm that minimizes a loss function by iteratively updating model parameters in the direction opposite the gradient."
95,Reasoning,Medium,"Why does gradient descent update parameters opposite to the gradient?","The gradient points toward the direction of greatest increase in the loss function, so moving in the opposite direction decreases the loss."
96,Definition,Easy,"What is a learning rate?","The learning rate is a hyperparameter that determines the size of each parameter update during optimization."
97,Reasoning,Hard,"What can happen if the learning rate is set too high?","A learning rate that is too high may cause optimization to overshoot the minimum, resulting in unstable training or complete divergence."
98,Reasoning,Medium,"What can happen if the learning rate is set too low?","A very small learning rate results in extremely slow convergence and may require many more iterations to reach an acceptable solution."
99,Comparison,Medium,"How does batch gradient descent differ from stochastic gradient descent?","Batch gradient descent computes gradients using the entire dataset, while stochastic gradient descent updates parameters using one training example at a time."
100,Comparison,Medium,"How does mini-batch gradient descent combine the advantages of batch and stochastic gradient descent?","Mini-batch gradient descent computes updates using small subsets of training data, improving computational efficiency while maintaining relatively stable gradient estimates."
101,Definition,Easy,"What is a loss function?","A loss function measures how different a model's predictions are from the correct target values and provides the objective for optimization."
102,Reasoning,Medium,"Why must a neural network minimize its loss function during training?","Reducing the loss generally improves prediction accuracy by making the model's outputs closer to the desired targets."
103,Definition,Easy,"What is overfitting?","Overfitting occurs when a model learns the training data too closely, including noise, causing poor performance on unseen data."
104,Definition,Easy,"What is underfitting?","Underfitting occurs when a model is too simple to capture important patterns in the training data, resulting in poor performance on both training and test data."
105,Comparison,Medium,"How does overfitting differ from underfitting?","Overfitting results from excessive model complexity and poor generalization, whereas underfitting results from insufficient model capacity to learn the data."
106,Definition,Medium,"What is regularization?","Regularization consists of techniques that reduce overfitting by discouraging unnecessarily complex models."
107,Application,Medium,"How does L2 regularization help improve model generalization?","L2 regularization penalizes large parameter values, encouraging smoother models that are less likely to memorize the training data."
108,Definition,Medium,"What is dropout?","Dropout is a regularization technique that randomly disables a subset of neurons during training to reduce co-adaptation and improve generalization."
109,Reasoning,Hard,"Why does dropout reduce overfitting in deep neural networks?","Randomly disabling neurons forces the network to learn more robust feature representations instead of relying on specific neurons, improving its ability to generalize."
110,Definition,Medium,"What is batch normalization?","Batch normalization normalizes intermediate activations during training, improving optimization stability and often accelerating convergence."
